Link,Speakers,City,Category,Trim
https://www.youtube.com/watch?v=CDYmQi4dttk,1,Focsani,ITW,0:50-4:37
https://www.youtube.com/watch?v=mvTjyko3aUU,1,Galati,ITW,0:00-6:01
https://www.youtube.com/watch?v=plDb1FACjTk,1,Galati,ITW,
https://www.youtube.com/watch?v=V5-utq0N6xA,1,Iasi,ITW,0:00-7:30
https://www.youtube.com/watch?v=WsRGyInWGuA,1,Iasi,ITW,
https://www.youtube.com/watch?v=2xN7A_3r-Dc,1,Iasi,ITW,
https://www.youtube.com/watch?v=wOXq2j2c5vc,1,Iasi,ITW,
https://www.youtube.com/watch?v=vjyPpL7iJFI,1,Iasi,ITW,
https://www.youtube.com/watch?v=c_gwHHRy_so,1,Iasi,ITW,
https://www.youtube.com/watch?v=VnoTixs2emE,1,Iasi,ITW,
https://www.youtube.com/watch?v=4flnid90qrE,1,Iasi,ITW,
https://www.youtube.com/watch?v=YIAUWG1XV_A,1,Iasi,ITW,0:00-5:15
https://www.youtube.com/watch?v=XaC63Vb40qs,1,Iasi,ITW,2:32-13:00
https://www.youtube.com/watch?v=cSJ_4Ztb3f4,1,Iasi,ITW,0:45-7:28
https://www.youtube.com/watch?v=yNjZrNg_Uik,1,Iasi,ITW,6:51-16:01
https://www.youtube.com/watch?v=2p0a7QigMjU,1,Iasi,ITW,
https://www.youtube.com/watch?v=UmZBtYwEDF0,1,Suceava,ITW,0:00-1:42
https://www.youtube.com/watch?v=UmZBtYwEDF0,1,Suceava,ITW,2:00-8:18
https://www.youtube.com/watch?v=feg22NDNggA,1,Suceava,ITW,0:00-9:06
https://www.youtube.com/watch?v=eZ0Xq0xz5Z8,1,Suceava,ITW,0:00-4:05
https://www.youtube.com/watch?v=6ezNdBap9es,1,Suceava,ITW,21:28-25:28
https://www.youtube.com/watch?v=wOwMeMlDHZY,1,Suceava,ITW,
https://www.youtube.com/watch?v=SO2vep84ZwA,1,Suceava,ITW,0:00-8:20
https://www.youtube.com/watch?v=Y8Og87FqIuc,1,Suceava,ITW,1:20-2:50
https://www.youtube.com/watch?v=_vZPTcVqDXc,1,Suceava,ITW,0:00-5:30
https://www.youtube.com/watch?v=icIE5zodw8o,1,Suceava,ITW,0:00-5:00
https://www.youtube.com/watch?v=srXEY7VqcM0,1,Suceava,ITW,
https://www.youtube.com/watch?v=IvcQywnfx4k,1,Suceava,ITW,0:00-5:40
https://www.youtube.com/watch?v=Aokjs2-5n0w,1,Galati,ITW,0:00-5:30
